subject_id,condition,channel,band,lowcut,highcut,plv,wpli,plv_pref_lag_s,plv_dom_freq,n_samples
2,VIZ,EEG-ch31,high_beta,20.0,30.0,0.010520034708695296,0.016007817462400743,-0.008399588441685675,25.0,78755
2,VIZ,EEG-ch32,high_beta,20.0,30.0,0.013767784336638007,0.017743724008050736,-0.006068545058888563,25.0,78755
2,VIZ,EEG-ch1,gamma1,30.0,50.0,0.011053696063895276,0.017295170761119565,-0.0064061548820647605,40.0,78755
2,VIZ,EEG-ch2,gamma1,30.0,50.0,0.00967031942317147,0.00743806730571926,-0.01046957696619912,40.0,78755
2,VIZ,EEG-ch3,gamma1,30.0,50.0,0.017006663272988408,0.02334178396886656,-0.004157214701866012,40.0,78755
2,VIZ,EEG-ch4,gamma1,30.0,50.0,0.02252281045367016,0.03263152797123533,-0.007848198596445973,40.0,78755
2,VIZ,EEG-ch5,gamma1,30.0,50.0,0.00753715438849419,0.009304741456824812,-0.008925877708194545,40.0,78755
2,VIZ,EEG-ch6,gamma1,30.0,50.0,0.007633108173523447,0.005223113796267253,-0.0017902365581481793,40.0,78755
2,VIZ,EEG-ch7,gamma1,30.0,50.0,0.03019987387735911,0.04676462861848762,-0.006010798757309635,40.0,78755
2,VIZ,EEG-ch8,gamma1,30.0,50.0,0.019077695879598407,0.02923013469046417,-0.007281055896865615,40.0,78755
2,VIZ,EEG-ch9,gamma1,30.0,50.0,0.013523525547375393,0.011973659218433524,-0.01010818736396018,40.0,78755
2,VIZ,EEG-ch10,gamma1,30.0,50.0,0.009736379442181347,0.004757985522706279,-0.0012594735543172647,40.0,78755
2,VIZ,EEG-ch11,gamma1,30.0,50.0,0.024184450756283882,0.037780953540036945,-0.00584449880389556,40.0,78755
2,VIZ,EEG-ch12,gamma1,30.0,50.0,0.02219042286115843,0.033226656883357374,-0.005074425628854447,40.0,78755
2,VIZ,EEG-ch14,gamma1,30.0,50.0,0.008526015424298853,0.009258123798294195,-0.009469770714542067,40.0,78755
2,VIZ,EEG-ch15,gamma1,30.0,50.0,0.026236787684696162,0.039025232738853964,-0.0049494394334356024,40.0,78755
2,VIZ,EEG-ch16,gamma1,30.0,50.0,0.024089262986131475,0.03736369129871932,-0.006874938944714234,40.0,78755
2,VIZ,EEG-ch17,gamma1,30.0,50.0,0.00291330821607233,0.004234182319724712,0.004712381730527777,40.0,78755
2,VIZ,EEG-ch20,gamma1,30.0,50.0,0.024685819325354262,0.037165390992842606,-0.007434914032028965,40.0,78755
