channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch12,low_beta,mixed-lm,0.0009612030266743985,0.328027264292722,10,5,mixed,0.32646761801277
EEG-ch13,low_beta,mixed-lm,0.0005312100783535669,0.5945878019455019,8,4,mixed,0.32646761801277
EEG-ch14,low_beta,mixed-lm,-0.00010525853961871871,0.8777415030898316,10,5,mixed,0.32646761801277
EEG-ch15,low_beta,mixed-lm,0.0016627337549736897,0.07786979573961138,10,5,mixed,0.32646761801277
EEG-ch16,low_beta,mixed-lm,0.002062069428838623,0.049392200104838274,10,5,mixed,0.32646761801277
EEG-ch17,low_beta,mixed-lm,0.0008211080009569505,0.4864857688163635,8,4,mixed,0.32646761801277
EEG-ch18,low_beta,mixed-lm,0.0009394796664846713,0.13819490552057961,8,4,mixed,0.32646761801277
EEG-ch19,low_beta,mixed-lm,0.0006859328133183378,0.42867323677312597,8,4,mixed,0.32646761801277
EEG-ch2,low_beta,mixed-lm,0.0006181713010565994,0.45139298818064666,10,5,mixed,0.32646761801277
EEG-ch20,low_beta,mixed-lm,0.0018164135798733306,0.05101056531449531,10,5,mixed,0.32646761801277
EEG-ch21,low_beta,mixed-lm,0.0027732049602945093,0.016796181018344552,10,5,mixed,0.36018470199120034
EEG-ch22,low_beta,mixed-lm,0.0019535749030643737,0.02334476311028207,10,5,mixed,0.36018470199120034
EEG-ch23,low_beta,mixed-lm,0.0013074694531933807,0.11085638955393251,8,4,mixed,0.36018470199120034
EEG-ch24,low_beta,mixed-lm,0.0006077241349656406,0.4036309001798051,10,5,mixed,0.36018470199120034
EEG-ch25,low_beta,mixed-lm,0.0018713660693590098,0.08214488309398023,10,5,mixed,0.36018470199120034
EEG-ch26,low_beta,mixed-lm,0.0015472165949920612,0.1125577193722501,10,5,mixed,0.36018470199120034
EEG-ch27,low_beta,mixed-lm,0.0013505589013315155,0.04044460534364369,10,5,mixed,0.3715622308770448
EEG-ch28,low_beta,mixed-lm,0.0013925858498619395,0.13933583657889181,8,4,mixed,0.3715622308770448
EEG-ch29,low_beta,mixed-lm,0.0012732117213762213,0.10097376444765908,10,5,mixed,0.40389505779063634
EEG-ch3,low_beta,mixed-lm,0.0006482628280579891,0.30506996553926513,10,5,mixed,0.43158627923711496
EEG-ch30,low_beta,mixed-lm,0.0009880847565987556,0.17533192594007796,10,5,mixed,0.43158627923711496
EEG-ch31,low_beta,mixed-lm,0.001072621250888453,0.39311270229359907,10,5,mixed,0.5455530750599202
EEG-ch32,low_beta,mixed-lm,0.001097024838225877,0.2727765375299601,10,5,mixed,0.5455530750599202
EEG-ch4,low_beta,mixed-lm,-0.00045972086632758123,0.5929875739878914,10,5,mixed,0.575423934809112
EEG-ch5,low_beta,mixed-lm,0.00056676151197928,0.5817337826270623,10,5,mixed,0.575423934809112
