channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch4,gamma1,mixed-lm,0.002993213873817244,0.04637557400213722,10,5,mixed,0.2832571985874856
EEG-ch5,gamma1,mixed-lm,0.0005098952357963271,0.6365166868449856,10,5,mixed,0.2832571985874856
EEG-ch6,gamma1,mixed-lm,0.0019503175628320143,0.026555362367576777,10,5,mixed,0.2832571985874856
EEG-ch7,gamma1,mixed-lm,0.002586833529241861,0.11757061579393788,10,5,mixed,0.5374656722008588
EEG-ch8,gamma1,mixed-lm,0.0018683870408395058,0.3030938947650228,10,5,mixed,0.6466003088320487
EEG-ch9,gamma1,mixed-lm,0.0015099568005818896,0.44673823462806383,10,5,mixed,0.649801068549911
EEG-ch1,high_beta,mixed-lm,-0.00071767118717341,0.39314647481172016,10,5,mixed,0.1321850989763927
EEG-ch10,high_beta,mixed-lm,-0.00036794755897376255,0.6631317907266004,10,5,mixed,0.1321850989763927
EEG-ch11,high_beta,mixed-lm,-0.0010363392039955612,0.007771656594467742,10,5,mixed,0.1321850989763927
EEG-ch12,high_beta,mixed-lm,-0.0004099356887940505,0.3800675427189806,10,5,mixed,0.1321850989763927
EEG-ch13,high_beta,mixed-lm,-0.001200014710739245,0.3914874228884815,8,4,mixed,0.1321850989763927
EEG-ch14,high_beta,mixed-lm,-0.0002563585098527733,0.47899286512188066,10,5,mixed,0.1321850989763927
EEG-ch15,high_beta,mixed-lm,-0.0008135019511855158,0.2674871926492859,10,5,mixed,0.1321850989763927
EEG-ch16,high_beta,mixed-lm,-0.0005175319600688669,0.3376862334667238,10,5,mixed,0.1321850989763927
EEG-ch17,high_beta,mixed-lm,-0.001661141811171594,0.594313364991257,9,5,mixed,0.1321850989763927
EEG-ch18,high_beta,mixed-lm,-0.0009444955861174976,0.4595179962181334,8,4,mixed,0.1321850989763927
EEG-ch19,high_beta,mixed-lm,0.00019533688233259715,0.5982987098439119,8,4,mixed,0.1321850989763927
EEG-ch2,high_beta,mixed-lm,-0.0009271812877448499,0.34049024792909244,10,5,mixed,0.1321850989763927
EEG-ch20,high_beta,mixed-lm,-0.0021617423289560112,0.009189500252473523,10,5,mixed,0.1321850989763927
EEG-ch21,high_beta,mixed-lm,-0.0006694438851755418,0.42862180423280416,10,5,mixed,0.1321850989763927
EEG-ch22,high_beta,mixed-lm,7.540553643404767e-05,0.8844413239101785,10,5,mixed,0.1321850989763927
EEG-ch23,high_beta,mixed-lm,-0.00030063386606222586,0.7213493760868628,8,4,mixed,0.1321850989763927
EEG-ch24,high_beta,mixed-lm,-0.0009132441557033206,0.2324352446434773,10,5,mixed,0.1321850989763927
EEG-ch25,high_beta,mixed-lm,-0.0011088773593801837,0.16461314861555099,10,5,mixed,0.1321850989763927
EEG-ch26,high_beta,mixed-lm,-0.0001252366825708683,0.8961299822764703,10,5,mixed,0.1321850989763927
EEG-ch27,high_beta,mixed-lm,-0.0011749212265516873,0.3347481577137128,10,5,mixed,0.1321850989763927
EEG-ch28,high_beta,mixed-lm,-0.0010789639965380037,0.3179732560249203,8,4,mixed,0.1321850989763927
EEG-ch29,high_beta,mixed-lm,-0.002904275858749145,0.02026672778082864,10,5,mixed,0.1321850989763927
EEG-ch3,high_beta,mixed-lm,-4.775104616219428e-05,0.9506445810612435,10,5,mixed,0.1321850989763927
EEG-ch30,high_beta,mixed-lm,-0.002237975262887784,0.059516168642047645,10,5,mixed,0.1321850989763927
EEG-ch31,high_beta,mixed-lm,-0.0024648053243711146,0.05256526175180991,10,5,mixed,0.1321850989763927
EEG-ch32,high_beta,mixed-lm,-0.0023691717612331913,0.06324149460364258,10,5,mixed,0.1321850989763927
EEG-ch4,high_beta,mixed-lm,-0.0005611631089170486,0.5302624233396944,10,5,mixed,0.1321850989763927
EEG-ch5,high_beta,mixed-lm,-7.357967877336409e-05,0.9485860141371312,10,5,mixed,0.1321850989763927
EEG-ch6,high_beta,mixed-lm,-0.0007494567473272799,0.012392353029036815,10,5,mixed,0.1321850989763927
EEG-ch7,high_beta,mixed-lm,-0.000647619181368617,0.2545324788958768,10,5,mixed,0.8145039324668059
EEG-ch8,high_beta,mixed-lm,4.184902009712817e-05,0.8980373216649488,10,5,mixed,0.9448342981446288
EEG-ch9,high_beta,mixed-lm,0.0003076155354414374,0.7972039390595306,10,5,mixed,0.9448342981446288
EEG-ch1,low_beta,mixed-lm,-0.0005957248367593586,0.5387024178136188,10,5,mixed,0.6861971535652197
EEG-ch10,low_beta,mixed-lm,-2.8230188128344428e-05,0.9749701365409125,10,5,mixed,0.6861971535652197
EEG-ch11,low_beta,mixed-lm,-0.00045959700933777823,0.6611538562618109,10,5,mixed,0.6861971535652197
EEG-ch12,low_beta,mixed-lm,-0.0005767022607795314,0.5586611268051296,10,5,mixed,0.6861971535652197
EEG-ch13,low_beta,mixed-lm,-0.00021554596703874832,0.8781990332170787,8,4,mixed,0.6861971535652197
EEG-ch14,low_beta,mixed-lm,0.0005819017801284475,0.5245126381004469,10,5,mixed,0.6861971535652197
EEG-ch15,low_beta,mixed-lm,-0.0006290252231912038,0.4411784926710939,10,5,mixed,0.6861971535652197
EEG-ch16,low_beta,mixed-lm,-0.0005171586137840058,0.5660838817081866,10,5,mixed,0.6861971535652197
EEG-ch17,low_beta,mixed-lm,-0.0010298653281321038,0.3680674459391028,9,5,mixed,0.6861971535652197
EEG-ch18,low_beta,mixed-lm,-0.0005148786582441171,0.672530419023543,8,4,mixed,0.6861971535652197
EEG-ch19,low_beta,mixed-lm,-0.0023453844848408192,0.10721830524456558,8,4,mixed,0.6861971535652197
EEG-ch2,low_beta,mixed-lm,-0.0008080009635241228,0.36367890908961265,10,5,mixed,0.7565642399351796
EEG-ch20,low_beta,mixed-lm,-0.0021945635758547507,0.03971476042253457,10,5,mixed,0.7565642399351796
EEG-ch21,low_beta,mixed-lm,-0.001739538379966608,0.09308669244342803,10,5,mixed,0.7565642399351796
EEG-ch22,low_beta,mixed-lm,-0.0007052957674786135,0.14185579498784617,10,5,mixed,0.7565642399351796
EEG-ch23,low_beta,mixed-lm,-0.0007601586989524544,0.4697516535827353,8,4,mixed,0.7670501843856489
EEG-ch24,low_beta,mixed-lm,-0.0011109591947401748,0.1041158837314551,10,5,mixed,0.7670501843856489
EEG-ch25,low_beta,mixed-lm,-0.0006682909369198732,0.5330219732642947,10,5,mixed,0.7670501843856489
EEG-ch26,low_beta,mixed-lm,0.0003811558285322618,0.6483659614366668,10,5,mixed,0.7670501843856489
EEG-ch27,low_beta,mixed-lm,-0.0011859392598855358,0.2459191558338012,10,5,mixed,0.7670501843856489
EEG-ch28,low_beta,mixed-lm,-0.0016321817446098659,0.0802341930355638,8,4,mixed,0.7670501843856489
EEG-ch29,low_beta,mixed-lm,-0.0007462069381940251,0.46559466702121655,10,5,mixed,0.7670501843856489
EEG-ch3,low_beta,mixed-lm,-0.0005551016273646163,0.5206137180812267,10,5,mixed,0.7670501843856489
EEG-ch30,low_beta,mixed-lm,-0.00013825699352757424,0.7334746281686532,10,5,mixed,0.7670501843856489
EEG-ch31,low_beta,mixed-lm,0.00019555957280636632,0.8289366287178597,10,5,mixed,0.7670501843856489
EEG-ch32,low_beta,mixed-lm,-0.0005736360034262057,0.44520307436637774,10,5,mixed,0.7670501843856489
EEG-ch4,low_beta,mixed-lm,0.0010475682240364925,0.38675484363502943,10,5,mixed,0.7670501843856489
EEG-ch5,low_beta,mixed-lm,-0.00035089623710056543,0.7590367191262215,10,5,mixed,0.7670501843856489
EEG-ch6,low_beta,mixed-lm,0.00102301010141019,0.2354407023227627,10,5,mixed,0.7670501843856489
EEG-ch7,low_beta,mixed-lm,-0.0006383924408617825,0.4787891389438568,10,5,mixed,0.7670501843856489
EEG-ch8,low_beta,mixed-lm,-0.0008657158361942715,0.3517106012695972,10,5,mixed,0.7670501843856489
EEG-ch9,low_beta,mixed-lm,-0.000384760704895115,0.5752876382892367,10,5,mixed,0.7670501843856489
EEG-ch1,theta,mixed-lm,-0.0030309280336375923,0.020600359481209536,10,5,mixed,1.7170269868099493e-06
EEG-ch10,theta,mixed-lm,-0.000915120752326843,0.6434833016384582,10,5,mixed,1.7170269868099493e-06
EEG-ch11,theta,mixed-lm,0.0014714364565488508,0.6102660156247789,10,5,mixed,1.7170269868099493e-06
EEG-ch12,theta,mixed-lm,0.002871977388901475,0.3771014695969369,10,5,mixed,1.7170269868099493e-06
EEG-ch13,theta,mixed-lm,0.0012425146585917798,0.6968231691411961,8,4,mixed,1.7170269868099493e-06
EEG-ch14,theta,mixed-lm,0.0005778286993634648,0.7803418004116949,10,5,mixed,1.7170269868099493e-06
EEG-ch15,theta,mixed-lm,0.001346211892831356,0.7341590837523924,10,5,mixed,1.7170269868099493e-06
EEG-ch16,theta,mixed-lm,0.0036886667010522325,0.08657877117235219,10,5,mixed,1.7170269868099493e-06
EEG-ch17,theta,mixed-lm,-0.00015380224566813696,0.894509729416457,9,5,mixed,1.7170269868099493e-06
EEG-ch18,theta,mixed-lm,-0.0014016445862221876,0.4307609884676272,8,4,mixed,1.7170269868099493e-06
EEG-ch19,theta,mixed-lm,-0.0026913249638702273,0.2138550512583337,8,4,mixed,1.7170269868099493e-06
EEG-ch2,theta,mixed-lm,-0.004476799117242098,5.3657093337810916e-08,10,5,mixed,1.7170269868099493e-06
EEG-ch20,theta,mixed-lm,0.0005876866669245518,0.7691393467099248,10,5,mixed,0.0009273741136519488
EEG-ch21,theta,mixed-lm,0.0018382205243409095,0.499952860799335,10,5,mixed,0.0009273741136519488
EEG-ch22,theta,mixed-lm,0.003802147571548636,0.18903119152083558,10,5,mixed,0.0009273741136519488
EEG-ch23,theta,mixed-lm,0.0018619631617065998,0.11788702249765969,8,4,mixed,0.0009273741136519488
EEG-ch24,theta,mixed-lm,-0.0008151283873771637,0.8000288924989654,10,5,mixed,0.0009273741136519488
EEG-ch25,theta,mixed-lm,0.0007900533023387712,0.7923194912991465,10,5,mixed,0.0009273741136519488
EEG-ch26,theta,mixed-lm,0.00223055305582839,0.24479353679212124,10,5,mixed,0.0009273741136519488
EEG-ch27,theta,mixed-lm,0.0034754038029911408,0.003514860944858218,10,5,mixed,0.0009273741136519488
EEG-ch28,theta,mixed-lm,0.004801899360928284,0.007150665961951631,8,4,mixed,0.0009273741136519488
EEG-ch29,theta,mixed-lm,0.005277756798170396,5.79608821032468e-05,10,5,mixed,0.0009273741136519488
EEG-ch3,theta,mixed-lm,-0.004542403261719126,0.0012990421074018249,10,5,mixed,0.013856449145619466
EEG-ch30,theta,mixed-lm,0.0004327754537487168,0.7855356930391344,10,5,mixed,0.06761974597416558
EEG-ch31,theta,mixed-lm,0.005303750474560322,0.07271781984594308,10,5,mixed,0.06761974597416558
EEG-ch32,theta,mixed-lm,0.006327575219947544,0.07439370391195825,10,5,mixed,0.06761974597416558
EEG-ch4,theta,mixed-lm,-0.0018168749777529997,0.19885703269040633,10,5,mixed,0.06761974597416558
EEG-ch5,theta,mixed-lm,-0.0033476180255889213,0.018153839362221903,10,5,mixed,0.06761974597416558
EEG-ch6,theta,mixed-lm,-0.0051891820048727165,0.012678702370156045,10,5,mixed,0.06761974597416558
EEG-ch7,theta,mixed-lm,0.002847304949890628,0.43935803225323944,10,5,mixed,0.7029728516051831
EEG-ch8,theta,mixed-lm,0.001944044189017852,0.42248910624000147,10,5,mixed,0.7510917444266693
EEG-ch9,theta,mixed-lm,-8.104547884316622e-05,0.9710635102274677,10,5,mixed,0.9710635102274677
