subject_id,condition,channel,band,lowcut,highcut,correlation_direct,pvalue_direct,correlation_max_lagged,optimal_lag_ms,optimal_lag_samples
3,MULTI,EEG-ch19,high_beta,20.0,30,0.003909276518120888,0.25865939912111885,0.02760482864382266,488.28125,125
3,MULTI,EEG-ch20,high_beta,20.0,30,0.022701874861685265,5.365981120542878e-11,0.03223153711479884,230.46875,59
3,MULTI,EEG-ch21,high_beta,20.0,30,0.010774581604637373,0.001849836889677889,-0.0361046674424576,207.03125,53
3,MULTI,EEG-ch22,high_beta,20.0,30,0.006798734238701614,0.04947508168866756,0.06098552128834531,183.59375,47
3,MULTI,EEG-ch23,high_beta,20.0,30,-0.007088672807749661,0.040535161874909284,0.05885765529305966,230.46875,59
3,MULTI,EEG-ch24,high_beta,20.0,30,0.022386315848272498,9.852505604988214e-11,0.06255606871638104,144.53125,37
3,MULTI,EEG-ch25,high_beta,20.0,30,0.010147315194603357,0.0033670114151765343,0.04730429806478449,-496.09375,-127
3,MULTI,EEG-ch26,high_beta,20.0,30,0.003650659337287263,0.2914990686257028,-0.039407365938378035,207.03125,53
3,MULTI,EEG-ch27,high_beta,20.0,30,-0.006948196657034082,0.044679184954645755,-0.04318424972957572,74.21875,19
3,MULTI,EEG-ch28,high_beta,20.0,30,-0.002780260235535095,0.4217780039762735,0.04805876558171297,226.5625,58
3,MULTI,EEG-ch29,high_beta,20.0,30,0.006928068199761752,0.04530128188139126,0.03532158715897214,93.75,24
3,MULTI,EEG-ch30,high_beta,20.0,30,0.010175700691908865,0.00327914295718672,-0.052797534183237876,464.84375,119
3,MULTI,EEG-ch31,high_beta,20.0,30,-0.010124907981870442,0.0034378821590899237,-0.040301591288692734,-230.46875,-59
3,MULTI,EEG-ch32,high_beta,20.0,30,-0.001613610071461798,0.6410416633025703,0.04276562654941273,230.46875,59
3,MULTI,EEG-ch1,gamma1,30.0,50,0.01354305795720361,9.102006883047984e-05,-0.03157237757125713,-460.9375,-118
3,MULTI,EEG-ch2,gamma1,30.0,50,0.00498708861851173,0.149585494323756,0.03288261366775135,238.28125,61
3,MULTI,EEG-ch3,gamma1,30.0,50,0.004180081558547523,0.2271188980732388,0.03561512108871181,-449.21875,-115
3,MULTI,EEG-ch4,gamma1,30.0,50,0.011712119657940787,0.0007137037708227868,-0.0305502710662195,-460.9375,-118
3,MULTI,EEG-ch5,gamma1,30.0,50,0.022868852012610852,3.877712426844757e-11,0.029644892788767505,218.75,56
3,MULTI,EEG-ch6,gamma1,30.0,50,0.011895627301858783,0.0005875684048142756,0.032416166616724244,371.09375,95
3,MULTI,EEG-ch7,gamma1,30.0,50,0.008089625522144513,0.019413974360683456,-0.03012806379115057,-460.9375,-118
3,MULTI,EEG-ch8,gamma1,30.0,50,0.008796200264130328,0.01103285741974668,0.03657388282488503,-500.0,-128
3,MULTI,EEG-ch9,gamma1,30.0,50,0.006131669245289744,0.07644034088488762,-0.04338458986999373,-460.9375,-118
3,MULTI,EEG-ch10,gamma1,30.0,50,0.006751840188207987,0.05106604351671996,0.04120256415767798,-449.21875,-115
3,MULTI,EEG-ch11,gamma1,30.0,50,0.0001710764996716291,0.9605754346500246,-0.04455332280801615,289.0625,74
3,MULTI,EEG-ch12,gamma1,30.0,50,0.003902453522384888,0.2594914593576108,-0.041483491927160644,-460.9375,-118
3,MULTI,EEG-ch13,gamma1,30.0,50,0.0005867712707850043,0.8653688327796679,-0.03679239611100691,-460.9375,-118
3,MULTI,EEG-ch14,gamma1,30.0,50,0.01741476545875886,4.84707240026394e-07,-0.03504896125318575,-460.9375,-118
3,MULTI,EEG-ch15,gamma1,30.0,50,0.00847351762385207,0.014348666144733657,0.025656756253113026,-476.5625,-122
3,MULTI,EEG-ch16,gamma1,30.0,50,0.0009737615325010803,0.7784324608477977,0.03884524673864517,-472.65625,-121
3,MULTI,EEG-ch17,gamma1,30.0,50,0.005280049229434275,0.12709756533612712,0.03854729954253873,-472.65625,-121
3,MULTI,EEG-ch18,gamma1,30.0,50,-0.002891877345171555,0.40338465183035466,-0.055699762193070754,-488.28125,-125
3,MULTI,EEG-ch19,gamma1,30.0,50,0.006321343546878397,0.06777030730634426,0.03377073751142446,-468.75,-120
3,MULTI,EEG-ch20,gamma1,30.0,50,0.00405901017482022,0.24086377748465324,0.03444554403651099,-472.65625,-121
3,MULTI,EEG-ch21,gamma1,30.0,50,0.005037606948579585,0.1455047883495455,-0.04424847381592978,-460.9375,-118
3,MULTI,EEG-ch22,gamma1,30.0,50,0.00019950350860109805,0.954031168877094,-0.06084812011219886,-488.28125,-125
3,MULTI,EEG-ch23,gamma1,30.0,50,-0.005859339490577001,0.09044896691252353,-0.05338481486266247,-460.9375,-118
3,MULTI,EEG-ch24,gamma1,30.0,50,-0.002391536516927508,0.4895526230398208,-0.02940182877756494,472.65625,121
3,MULTI,EEG-ch25,gamma1,30.0,50,0.00025220073081186844,0.9419081106139453,-0.04847839392501316,-460.9375,-118
3,MULTI,EEG-ch26,gamma1,30.0,50,0.005607142486791359,0.10519756734994272,-0.05021995589137995,-460.9375,-118
3,MULTI,EEG-ch27,gamma1,30.0,50,0.003270804999668728,0.3446174007281642,-0.053715780550178456,-460.9375,-118
3,MULTI,EEG-ch28,gamma1,30.0,50,0.0014780377952147434,0.6693283136872528,-0.04955572093153514,-460.9375,-118
3,MULTI,EEG-ch29,gamma1,30.0,50,0.006774715173191962,0.05028469749257082,-0.04961364856924203,-460.9375,-118
3,MULTI,EEG-ch30,gamma1,30.0,50,-0.0070331531837843,0.042132309878949926,-0.026947061536482714,-382.8125,-98
3,MULTI,EEG-ch31,gamma1,30.0,50,0.018055649278937293,1.8136148853634174e-07,0.036592918713880665,-445.3125,-114
3,MULTI,EEG-ch32,gamma1,30.0,50,0.006500982168579315,0.06032125497499446,-0.04481180949637058,-460.9375,-118
3,RS1,EEG-ch1,delta,0.5,4,0.016536615481563578,1.6093276434344094e-05,0.04195652853077524,-136.71875,-35
3,RS1,EEG-ch2,delta,0.5,4,0.028024265913488423,2.66404642134807e-13,0.04657833038002935,-144.53125,-37
