channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch15,high_beta,mixed-lm,0.009400357748089224,0.1606511070532335,10,5,mixed,0.9314990965487994
EEG-ch16,high_beta,mixed-lm,0.0036157701243130272,0.6526790114546624,10,5,mixed,0.9314990965487994
EEG-ch17,high_beta,mixed-lm,0.0041257927751025564,0.6171549224278761,9,5,mixed,0.9314990965487994
EEG-ch18,high_beta,mixed-lm,-0.0016419454292291155,0.8425177895215985,8,4,mixed,0.9314990965487994
EEG-ch19,high_beta,mixed-lm,0.001574739165134211,0.7395646494774754,8,4,mixed,0.9314990965487994
EEG-ch2,high_beta,mixed-lm,0.0042917178622199105,0.4489622772130041,10,5,mixed,0.9314990965487994
EEG-ch20,high_beta,mixed-lm,-0.004391090759195767,0.6992140349599574,10,5,mixed,0.9314990965487994
EEG-ch21,high_beta,mixed-lm,0.008545542708789468,0.3250841746865758,10,5,mixed,0.9314990965487994
EEG-ch22,high_beta,mixed-lm,0.002788996164535105,0.6386650011165278,10,5,mixed,0.9314990965487994
EEG-ch23,high_beta,mixed-lm,0.003501578185653878,0.5379866925689295,8,4,mixed,0.9314990965487994
EEG-ch24,high_beta,mixed-lm,0.006778486568156565,0.3427821624302967,10,5,mixed,0.9314990965487994
EEG-ch25,high_beta,mixed-lm,0.007252733606814735,0.4258413677113685,10,5,mixed,0.9314990965487994
EEG-ch26,high_beta,mixed-lm,0.0063029986401738234,0.46075021267566174,10,5,mixed,0.9314990965487994
EEG-ch27,high_beta,mixed-lm,0.005955254072065057,0.2568264158420004,10,5,mixed,0.9314990965487994
EEG-ch28,high_beta,mixed-lm,0.008255665938158335,0.2962294243144027,8,4,mixed,0.9314990965487994
EEG-ch29,high_beta,mixed-lm,0.0069493595837278625,0.27116504474874525,10,5,mixed,0.9314990965487994
EEG-ch3,high_beta,mixed-lm,0.002091559566402563,0.7859523627130495,10,5,mixed,0.9314990965487994
EEG-ch30,high_beta,mixed-lm,0.0016840903156702988,0.7458821001469655,10,5,mixed,0.9547290881881159
EEG-ch31,high_beta,mixed-lm,0.008347809387833298,0.14353608256958136,10,5,mixed,0.9884884005102875
EEG-ch32,high_beta,mixed-lm,0.005065799678215921,0.5079973820265336,10,5,mixed,0.9884884005102875
EEG-ch4,high_beta,mixed-lm,-0.002899858781748221,0.6651809235588515,10,5,mixed,0.9884884005102875
EEG-ch5,high_beta,mixed-lm,-6.669205981325971e-05,0.9884884005102875,10,5,mixed,0.9884884005102875
EEG-ch6,high_beta,mixed-lm,0.010601367962245034,0.13552696219714264,10,5,mixed,1.0
EEG-ch7,high_beta,mixed-lm,0.006063924046890001,0.3392609737567517,10,5,mixed,1.0
EEG-ch8,high_beta,mixed-lm,0.00025343021199082346,0.9731897886531107,10,5,mixed,1.0
EEG-ch9,high_beta,mixed-lm,0.00036648731063645073,0.9549221186403778,10,5,mixed,1.0
EEG-ch1,low_beta,mixed-lm,-0.005512824971387484,0.5539168635134709,10,5,mixed,0.9379575372910804
EEG-ch10,low_beta,mixed-lm,-0.015093473440669303,0.14254652808492513,10,5,mixed,0.9379575372910804
EEG-ch11,low_beta,mixed-lm,0.00020379246470384192,0.9831858888563623,10,5,mixed,0.9379575372910804
EEG-ch12,low_beta,mixed-lm,-0.010787356441091939,0.41108576333134683,10,5,mixed,0.9379575372910804
EEG-ch13,low_beta,mixed-lm,0.0021310104870486584,0.7914016720893491,8,4,mixed,0.9379575372910804
EEG-ch14,low_beta,mixed-lm,2.751680489413571e-06,0.999652638100364,10,5,mixed,0.9420193994096063
EEG-ch15,low_beta,mixed-lm,0.009785557516031468,0.27770093322208267,10,5,mixed,0.9420193994096063
EEG-ch16,low_beta,mixed-lm,-0.010730400439862429,0.3250365251292212,10,5,mixed,0.9420193994096063
