channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch17,low_beta,mixed-lm,-0.0029844301918999306,0.5714003720369905,9,5,mixed,0.2512607781909146
EEG-ch18,low_beta,mixed-lm,0.00969456590934802,0.1390133411830699,8,4,mixed,0.2512607781909146
EEG-ch19,low_beta,mixed-lm,-0.01627634607842325,0.2284922393990113,8,4,mixed,0.2512607781909146
EEG-ch2,low_beta,mixed-lm,-0.012586506910417267,0.02355569795539824,10,5,mixed,0.2512607781909146
EEG-ch20,low_beta,mixed-lm,0.0044851861730872775,0.2212439673172456,10,5,mixed,0.3120213945317849
EEG-ch21,low_beta,mixed-lm,-0.003984351447800512,0.6669200407066513,10,5,mixed,0.3120213945317849
EEG-ch22,low_beta,mixed-lm,-0.0013833071724692835,0.7840812069031389,10,5,mixed,0.3120213945317849
EEG-ch23,low_beta,mixed-lm,0.00905432011520663,0.18751318653059068,8,4,mixed,0.3120213945317849
EEG-ch24,low_beta,mixed-lm,-0.012849339270036628,0.2573604286897848,10,5,mixed,0.3120213945317849
EEG-ch25,low_beta,mixed-lm,-0.007478729278811898,0.42925242280131837,10,5,mixed,0.3120213945317849
EEG-ch26,low_beta,mixed-lm,-0.006965025988557162,0.11414310482640028,10,5,mixed,0.3120213945317849
EEG-ch27,low_beta,mixed-lm,0.0017707608778395935,0.8361954806709393,10,5,mixed,0.3120213945317849
EEG-ch28,low_beta,mixed-lm,0.0008580921313211419,0.9369708152551952,8,4,mixed,0.3120213945317849
EEG-ch29,low_beta,mixed-lm,0.007676440649578911,0.3161301367999937,10,5,mixed,0.3120213945317849
EEG-ch3,low_beta,mixed-lm,-0.013206428837361181,0.019501337158236556,10,5,mixed,0.3120213945317849
EEG-ch30,low_beta,mixed-lm,-0.0014549426405978927,0.8158060539633125,10,5,mixed,0.47430429494042237
EEG-ch31,low_beta,mixed-lm,0.006613283454050481,0.39661471264665016,10,5,mixed,0.47430429494042237
EEG-ch32,low_beta,mixed-lm,-0.008611495452443451,0.34472157230144107,10,5,mixed,0.47430429494042237
EEG-ch4,low_beta,mixed-lm,-0.01198574700548971,0.17978237003796416,10,5,mixed,0.47430429494042237
EEG-ch5,low_beta,mixed-lm,-0.01557271417650143,0.18215096764453997,10,5,mixed,0.47430429494042237
EEG-ch6,low_beta,mixed-lm,-0.011994456317798944,0.2667961659039876,10,5,mixed,0.47430429494042237
EEG-ch7,low_beta,mixed-lm,-0.007665831976860752,0.3645621088241381,10,5,mixed,0.5514708184091052
EEG-ch8,low_beta,mixed-lm,-0.02172494250016841,0.08616731537642268,10,5,mixed,0.5514708184091052
EEG-ch9,low_beta,mixed-lm,-0.007570299680421865,0.45606329527397615,10,5,mixed,0.6080843936986349
EEG-ch1,theta,mixed-lm,0.016225368310370934,0.14660548256634118,10,5,mixed,0.03737233987174093
EEG-ch10,theta,mixed-lm,0.012601961626493819,0.3695057191152149,10,5,mixed,0.03737233987174093
EEG-ch11,theta,mixed-lm,0.002147249632757163,0.7566909297422109,10,5,mixed,0.03737233987174093
EEG-ch12,theta,mixed-lm,0.0004924771835816553,0.9558462476398437,10,5,mixed,0.03737233987174093
EEG-ch13,theta,mixed-lm,-0.015592245164792438,0.001167885620991904,8,4,mixed,0.03737233987174093
EEG-ch14,theta,mixed-lm,0.0002825351826136371,0.9823928239489165,10,5,mixed,0.4891050643206495
EEG-ch15,theta,mixed-lm,-0.008161198928823268,0.3198585813455752,10,5,mixed,0.4891050643206495
EEG-ch16,theta,mixed-lm,-0.01583579810758709,0.07002531513189778,10,5,mixed,0.4891050643206495
EEG-ch17,theta,mixed-lm,-0.0058923745447725055,0.3738732706947706,9,5,mixed,0.4891050643206495
EEG-ch18,theta,mixed-lm,3.7516224452652236e-05,0.9968249700616152,8,4,mixed,0.4891050643206495
EEG-ch19,theta,mixed-lm,0.011940233450763763,0.37215164684913327,8,4,mixed,0.4891050643206495
EEG-ch2,theta,mixed-lm,0.020233156074564905,0.12769378911906215,10,5,mixed,0.4891050643206495
EEG-ch20,theta,mixed-lm,-0.00802089923896333,0.25085273161882793,10,5,mixed,0.4891050643206495
EEG-ch21,theta,mixed-lm,-0.010095736995586056,0.06394567268419368,10,5,mixed,0.4891050643206495
EEG-ch22,theta,mixed-lm,-0.0098218549420371,0.15856668618377556,10,5,mixed,0.4891050643206495
EEG-ch23,theta,mixed-lm,-0.0036500385139895328,0.5830037544737343,8,4,mixed,0.4891050643206495
EEG-ch24,theta,mixed-lm,-0.008861504953570774,0.23628178038531422,10,5,mixed,0.4891050643206495
EEG-ch25,theta,mixed-lm,-0.022218379026508132,0.04176321167520671,10,5,mixed,0.4891050643206495
EEG-ch26,theta,mixed-lm,-0.012813263740411826,0.17738221156007916,10,5,mixed,0.4891050643206495
EEG-ch27,theta,mixed-lm,-0.013443451956646302,0.13884414968789602,10,5,mixed,0.4891050643206495
EEG-ch28,theta,mixed-lm,-0.00783137152717683,0.4536866022251821,8,4,mixed,0.4891050643206495
EEG-ch29,theta,mixed-lm,-0.010158561728246092,0.3596866904699999,10,5,mixed,0.4891050643206495
EEG-ch3,theta,mixed-lm,0.016123416996532053,0.1951101830580413,10,5,mixed,0.4891050643206495
EEG-ch30,theta,mixed-lm,-0.01617585162589917,0.10696173333726704,10,5,mixed,0.4891050643206495
EEG-ch31,theta,mixed-lm,-0.025203484118029196,0.07642266630010149,10,5,mixed,0.4891050643206495
EEG-ch32,theta,mixed-lm,-0.012437673064217432,0.24996808738107934,10,5,mixed,0.5312431078946965
EEG-ch4,theta,mixed-lm,0.011768984035923127,0.2988242481907668,10,5,mixed,0.5312431078946965
EEG-ch5,theta,mixed-lm,0.009593498708508643,0.2787411662176684,10,5,mixed,0.556535052019143
EEG-ch6,theta,mixed-lm,0.011322101944039063,0.2956592463851697,10,5,mixed,0.556535052019143
EEG-ch7,theta,mixed-lm,0.0064023494048091375,0.5801280215040368,10,5,mixed,0.7425596555873099
EEG-ch8,theta,mixed-lm,0.0009352530234970791,0.9377517591688923,10,5,mixed,0.7425596555873099
EEG-ch9,theta,mixed-lm,0.006276717842556447,0.6265347094017927,10,5,mixed,0.7425596555873099
