channel,band,test,coefficient,p_value,n_obs,n_subjects,model_type,p_fdr
EEG-ch19,low_beta,mixed-lm,-0.010641265771156566,0.32305349145369,8,4,mixed,0.2861769635222493
EEG-ch2,low_beta,mixed-lm,-0.013260415488851273,0.055771044705191564,10,5,mixed,0.2861769635222493
EEG-ch20,low_beta,mixed-lm,-0.0017755903951774074,0.76462990914115,10,5,mixed,0.2861769635222493
EEG-ch21,low_beta,mixed-lm,-0.0008780928377575502,0.9113871041279124,10,5,mixed,0.2861769635222493
EEG-ch22,low_beta,mixed-lm,0.0047675767745237775,0.6784871237257563,10,5,mixed,0.2861769635222493
EEG-ch23,low_beta,mixed-lm,-0.007535366476004283,0.27918055634998296,8,4,mixed,0.2861769635222493
EEG-ch24,low_beta,mixed-lm,-0.007449443325874118,0.12082307785772299,10,5,mixed,0.2861769635222493
EEG-ch25,low_beta,mixed-lm,-0.002214451970178669,0.8284198278795728,10,5,mixed,0.2861769635222493
EEG-ch26,low_beta,mixed-lm,-0.006676317651104774,0.4357690666071673,10,5,mixed,0.2861769635222493
EEG-ch27,low_beta,mixed-lm,-0.010389652859565014,0.03577212044028116,10,5,mixed,0.2861769635222493
EEG-ch28,low_beta,mixed-lm,-0.015037350864713778,0.22648121677752375,8,4,mixed,0.3039075553938776
EEG-ch29,low_beta,mixed-lm,-0.0157027297265128,0.05698266663635205,10,5,mixed,0.3039075553938776
EEG-ch3,low_beta,mixed-lm,-0.01730577831709477,0.03523760005018163,10,5,mixed,0.36018069148658793
EEG-ch30,low_beta,mixed-lm,-0.003206284133545069,0.7356885463535159,10,5,mixed,0.36018069148658793
EEG-ch31,low_beta,mixed-lm,-0.00025556079466814644,0.982682875117901,10,5,mixed,0.36018069148658793
EEG-ch32,low_beta,mixed-lm,-0.011882680163425727,0.22865495019570425,10,5,mixed,0.36018069148658793
EEG-ch4,low_beta,mixed-lm,-0.007971412944272647,0.33778707749323833,10,5,mixed,0.36018069148658793
EEG-ch5,low_beta,mixed-lm,-0.007649425177223926,0.36443283013270034,10,5,mixed,0.36018069148658793
EEG-ch6,low_beta,mixed-lm,-0.007795354384198308,0.09004517287164698,10,5,mixed,0.36018069148658793
EEG-ch7,low_beta,mixed-lm,-0.005116470199063781,0.5859383942229521,10,5,mixed,0.938712064174829
EEG-ch8,low_beta,mixed-lm,-0.005750801968826946,0.5866950401092681,10,5,mixed,0.938712064174829
EEG-ch9,low_beta,mixed-lm,-0.0033653126995866396,0.6761484312438709,10,5,mixed,1.0
EEG-ch1,theta,mixed-lm,0.021948207809676573,0.009941790848328939,10,5,mixed,1.709390683799332e-06
EEG-ch10,theta,mixed-lm,0.021135169082035398,0.006473836233350986,10,5,mixed,1.709390683799332e-06
EEG-ch11,theta,mixed-lm,0.0020508511627035683,0.8187912015960277,10,5,mixed,1.709390683799332e-06
EEG-ch12,theta,mixed-lm,0.006456700162812033,0.5381452927664535,10,5,mixed,1.709390683799332e-06
EEG-ch13,theta,mixed-lm,0.014405261833903124,0.009455632186167186,8,4,mixed,1.709390683799332e-06
EEG-ch14,theta,mixed-lm,0.016431672363826803,0.07063753021877495,10,5,mixed,1.709390683799332e-06
EEG-ch15,theta,mixed-lm,-0.007254820087629304,0.26412637708408726,10,5,mixed,1.709390683799332e-06
EEG-ch16,theta,mixed-lm,-0.00956372226787018,0.49396722613164545,10,5,mixed,1.709390683799332e-06
EEG-ch17,theta,mixed-lm,-0.0008655626985413791,0.9237105581805846,8,4,mixed,1.709390683799332e-06
EEG-ch18,theta,mixed-lm,0.016841152475762705,0.008151628165565096,8,4,mixed,1.709390683799332e-06
EEG-ch19,theta,mixed-lm,0.015921194975884772,0.04092805590628488,8,4,mixed,1.709390683799332e-06
EEG-ch2,theta,mixed-lm,0.02825085192373549,5.341845886872912e-08,10,5,mixed,1.709390683799332e-06
EEG-ch20,theta,mixed-lm,0.0010357758414737408,0.9206137399999508,10,5,mixed,0.0012780267349328722
EEG-ch21,theta,mixed-lm,-0.01571115757538643,0.23110337607451514,10,5,mixed,0.0012780267349328722
EEG-ch22,theta,mixed-lm,-0.011875517001069882,0.37234041661494366,10,5,mixed,0.0012780267349328722
EEG-ch23,theta,mixed-lm,0.013476245028395655,0.17055619805831368,8,4,mixed,0.0012780267349328722
EEG-ch24,theta,mixed-lm,-0.002410866801109274,0.8027773423262538,10,5,mixed,0.0012780267349328722
EEG-ch25,theta,mixed-lm,-0.014330581322064643,0.3145013501790067,10,5,mixed,0.0012780267349328722
EEG-ch26,theta,mixed-lm,-0.01109658419797849,0.37958840657294257,10,5,mixed,0.0012780267349328722
EEG-ch27,theta,mixed-lm,-0.0015038086294216226,0.9025064374435363,10,5,mixed,0.0012780267349328722
EEG-ch28,theta,mixed-lm,0.0009873409136751526,0.929049305909685,8,4,mixed,0.0012780267349328722
EEG-ch29,theta,mixed-lm,0.009511528771124933,0.46911460559602625,10,5,mixed,0.0012780267349328722
EEG-ch3,theta,mixed-lm,0.026040707196766554,7.987667093330451e-05,10,5,mixed,0.0012780267349328722
EEG-ch30,theta,mixed-lm,0.004436162634284868,0.6361971437075642,10,5,mixed,0.0403363047330337
EEG-ch31,theta,mixed-lm,-0.007583518302637099,0.6109533565557808,10,5,mixed,0.0403363047330337
EEG-ch32,theta,mixed-lm,-0.00409993012950009,0.7340383332462233,10,5,mixed,0.0403363047330337
EEG-ch4,theta,mixed-lm,0.017321017194074653,0.010084076183258425,10,5,mixed,0.0403363047330337
EEG-ch5,theta,mixed-lm,0.009866179037923192,0.23866889152872717,10,5,mixed,0.04377054900442906
EEG-ch6,theta,mixed-lm,0.006128952886876313,0.19018199702965355,10,5,mixed,0.04377054900442906
EEG-ch7,theta,mixed-lm,-0.005191280460974968,0.37586948802725695,10,5,mixed,0.04377054900442906
EEG-ch8,theta,mixed-lm,-0.0022992101249297266,0.8283341000406976,10,5,mixed,0.04377054900442906
EEG-ch9,theta,mixed-lm,0.029415959494415007,0.004103488969165224,10,5,mixed,0.04377054900442906
